clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c136	10	21	30	35	42	52	112	74	84	92	101	111	118	127	136
c137	10	21	30	35	42	51	112	74	84	93	102	112	119	128	137
c138	10	21	30	35	45	51	114	75	85	94	103	113	120	129	138
c139	10	21	29	36	42	54	115	76	86	95	104	114	121	130	139
c140	10	21	29	35	46	51	115	78	87	96	105	115	122	131	140
c141	10	22	29	37	42	56	116	78	87	96	106	115	122	131	141
c142	10	22	31	35	46	51	116	79	88	97	106	116	123	132	142
c143	2	22	29	37	46	56	117	79	88	97	107	116	123	133	143
c144	10	22	31	37	47	56	117	79	88	97	107	116	124	134	144
c145	10	22	29	37	48	57	117	79	88	97	107	117	125	135	145
c146	10	22	29	38	43	58	117	80	89	98	108	118	126	136	146
c147	10	22	31	36	43	59	118	80	89	98	109	118	127	137	147
c148	10	22	32	36	45	60	118	81	90	99	109	119	128	138	148
c149	10	3	32	36	43	61	119	81	90	100	110	120	129	139	149
c150	10	22	32	39	49	61	119	81	90	100	111	121	130	140	150
c151	2	22	33	36	49	55	119	1	1	1	111	1	1	1	1
c152	10	22	33	39	43	61	5	2	2	2	1	2	2	2	2
c153	2	22	33	36	49	62	6	3	3	3	2	3	3	3	3
c154	10	22	33	36	49	61	7	3	3	3	3	3	3	3	4
c155	10	22	33	39	50	62	7	3	3	3	3	4	4	4	5
c156	10	22	4	40	51	61	7	4	4	4	4	5	5	5	6
