,,,human_Branch AB_150_cluster,,,human_Branch AB_150_cluster_NZ,,,mice_Branch AB_150_cluster,,,mice_Branch AB_150_cluster_NZ,,,human_Branch AB_90_cluster,,,human_Branch AB_90_cluster_NZ,,,mice_Branch AB_90_cluster,,,mice_Branch AB_90_cluster_NZ,
gene1,gene2,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr
ETV1,NOS1,,3.73167445643692E-09,0.45818364318053,,1.67154777118326E-05,0.463789166410047,,5.73368412289846E-27,0.737092853955457,,2.26743304956346E-17,0.80271810124828,,6.16860943219739E-08,0.533476295080888,,0.000107317512945732,0.52991248441726,,1.69499402852987E-17,0.750356769151233,,3.25524998542525E-14,0.815891385652607
ETV1,RET,,9.52492675463103E-15,0.578048338838415,,1.11745337258437E-13,0.692257079774027,,9.08591396253089E-52,0.887906771744996,,1.525611946003E-45,0.897445277721897,,7.53585791810384E-15,0.706223437575428,,3.99791893774347E-09,0.704287126198316,,1.31207193125587E-31,0.889053838130443,,3.03823311774676E-29,0.896118087901911
ETV1,VIP,,8.79416851750578E-22,0.681096866537839,,3.00241969845615E-14,0.676062542577881,,9.63809871517397E-34,0.79356390833225,,1.62200119289394E-30,0.821120078232375,,7.15598746764217E-14,0.687567808663875,,4.3855953111193E-13,0.78176202877328,,1.62665978171191E-22,0.814460215987475,,2.05542182797965E-21,0.837937342161323
ETV3,CHAT,,0.505825366311658,-0.0547429576312496,,0.22726301231577,0.936955057790476,,0.842448534256289,-0.016364701523099,,0.0161026951453393,0.314773176082373,,0.533230880338682,-0.0665357982804389,,0.133223802427639,0.978183357617492,,0.735432505193715,-0.0361117991902154,,0.0724121527556537,0.27040464858638
ETV3,ETV1,,0.335559529221834,0.0791654385520172,,0.495653077915674,0.1461305022939,,0.481893513199047,0.0578568416919752,,0.246187525436,0.118868533330703,,0.390183726812715,0.0916669659766343,,0.608123933855746,0.125698870832588,,0.62412856735838,0.0523476320103181,,0.600174763904976,0.0651937069724833
ETV3,GAL,,0.918912838505209,-0.00838217631817953,,0.903497721406452,-0.0267695411432303,,0.524698519871859,0.052341180337561,,0.2649528555113,0.109774432980262,,0.693721611854611,0.0420810090602532,,0.276671138942851,0.271023312366,,0.435973331228226,0.0831347597646869,,0.628210720947534,0.0584579637138739
ETV3,GFRA1,,0.605519340030171,0.0425069215427368,,0.744230668340804,0.068690788810284,,0.0972466939066196,0.135911688038907,,0.0324311342898733,0.217401723468869,,0.810384019633719,0.0256452339110126,,0.342907826259343,0.223779219325578,,0.0077466324985353,0.278999063864672,,0.00422692112412267,0.345176563897818
ETV3,NOS1,,0.71541782160456,-0.0300129757975197,,0.00214135060901796,0.674435433150857,,0.279962196939225,0.0887830171459766,,0.26191070825076,0.144672840914293,,0.329763784859807,-0.103904813756922,,0.000168595857502961,0.859064834696549,,0.293066582821042,0.112045996088235,,0.557352401548507,0.0849821238655109
ETV3,RET,,0.960551016035023,0.00407261874572531,,0.832817391769281,0.0490387257857854,,0.977241212301371,0.00234893019163719,,0.0644333851705107,0.178581202761971,,0.82378600922995,0.0238017258121086,,0.75042395268626,0.086378164166213,,0.788816014189423,0.0286280907404638,,0.262870739495133,0.134659770196863
ETV3,VIP,,0.293468526718896,-0.0863384510191105,,0.370304663665703,-0.211675993115429,,0.483106163966452,0.057697103989251,,0.508480776507772,0.064613184523033,,0.567692293752277,-0.0610334389285174,,0.409872567102902,-0.213838307430934,,0.489066037800982,0.0738542956410674,,0.844191625076214,0.0239176958008308
